"followup##gdid",project,"followup##payment_number","followup##daily_life_ubi_initial","followup##daily_life_ubi_repeated","followup##goals","followup##goals_ubi_repeated","followup##life_different","followup##life_different_future","followup##life_different_ubi_repeated"
gd-21782417,ubi_kenya,7,,"The biggest difference in my daily life is that I am able to meet my family daily needs. Previously the little I got from doing casual jobs I had to divide so as to pay school fees and ensure they feed too.",,"My new goals are to see my children transition to college after their high school.",,"In the next six months, I'm hopeful that more of my children  will be able to join secondary school using the money.","Apart from being able to meet my family daily needs, I have also been able to buy a sheep for rearing."
gd-21513533,ubi_kenya,1,"The biggest difference in my life is that I am happy with GD transfers since every months' transfer will help me boost my plans.",,"My new goal is to buy iron sheets and establish poultry farming.",,"My life is different since I can now plan my work knowing that I will get GD transfer every month. With more transfers I see my life improving.","I expect to have bought livestock in the next six months. I also expect to have started a business.",
gd-22372565,ubi_kenya,4,"The biggest difference in my daily life is that my dream of having of having a more spacious is moving so fast. Previously it had stalled for some time for lack of money to even buying the building .",,"My new goal is to start a cereal business. With this I will be making more income.",,"My life is currently different from how it would have been had I never received the transfer is that I can do other things too using the money I get from GiveDirectly and my other sources.","In the next six  expect my life to change for the better with my new spacious house fully constructed and family will be occupying it.",
gd-24799408,ubi_kenya,2,,"The biggest difference in my daily life in the last four months is that I started a business hence I have daily income.I am able to pay school fees for my children with ease hence they are not sent home for school fees, this makes me feel happy.",,"I am planning to start an mpesa business in the next four months using my merry go round savings.",,"I expect to  have started mpesa business hence it will increase my daily income.I will not have any difficulty in paying school fees and taking care of my children.","I am staying a happy life and stress free because I do not have debts unlike before when I used to borrow from any source available to enable me pay school fees for my children."
gd-22771138,ubi_kenya,1,"The biggest difference in my daily life is that I am happy that I will earn every month and this will help me do something better in my life.",,"My new goal is to pay fees for my children.",,"Life has been had for me. Now that GD has aided me though their cash transfers, I am happy and this will help boost my plans.","In the next six months months I will have completed paying fees for my children in secondary school.",
gd-22196413,ubi_kenya,1,"I now have a sheep of my own which I will use as a rembrance of Give Directly and a property of my own which I can later sell to meet my financial needs.",,"Currently I do not have any new goal.",,"I have a sheep in my compound just like my neighbours.","I plan to renovate my house especuially the leaking roof and fence my compound.",
gd-21176264,ubi_kenya,7,,"The biggest difference in my daily life is happiness.",,"The only goal I now have is to construct a chicken pen.",,"I expect my life to change in that I will have constructed  a chicken pen and also bought a sheep.","My life currently is different since I now have a sheep and some chicken which I did not have before."
gd-21895422,ubi_kenya,6,,,,,,,
gd-22488092,ubi_kenya,3,"I recently bought a goat, and I am now planning to buy a sheep of my own.",,"I am planning to save my cash so that I should be able to pay school fees for my son who is yet to join secondary school.",,"My life is currently different because I am able to take care of my family comfortably unlike how I used to struggle before. I am also in a position to make financial plans and execute them as I wish even without some assistance from my husband.","I will have bought a sheep that I will be seeing everyday, and in case I run broke I will be able sell it and earn some cash out of it.",
gd-22002801,ubi_kenya,5,,"I am now able to make things move: for instance, I am now able to buy enough food for my family. In addition to that I have been able to cement my house, something that I could not achieve in the past.",,"I want to plaster the entire house in the near future.",,"I will be able to complete my projects without so much financial stress.","My life is different because I am now able to make plans on my own without asking money from other people. I am also able to pay school fees without having to struggle so much."
gd-24257760,ubi_kenya,1,"The biggest difference in my daily life is that these transfers have enabled me to build a kitchen which I did not have and also I have bought better clothing for my family.",,"I am planning to buy a heifer with the next transfer because I do not have one and also start a car wash of my own.",,"My life is currently different because these  transfers have improved my living standard faster than I thought.","I expect to have bought a car wash machine and have started my own car wash.",
gd-22017157,ubi_kenya,2,"The biggest difference  is that GD has enabled me to have food on my table with ease",,"I am planning to fence my compound for security  purpose as well as take my so to college a dream that has been making me go nuts.",,"Currently  I am able to feed well without any concern of  going a day without food.","I expect to have fenced my compound  as well as improve my business to be able to increase income. I run a mill grinder at the village.",
gd-23235380,ubi_kenya,1,"The biggest difference in my daily life since Istarted receiving the money is that I have made a great step in completeing the project I had but due to a lot o responsibilities I couldn't move on with nit.",,"I have a new goal of owning a decent home but I thought achieving it would be impossible but now withthe money I believe I can manage it.",,"Had I not received the money by now my house would be in a bad shape following the heavy rainfall that really washed off the walls.","In the next six months, I expect to have fenced my home so that I can have my privacy and good security too.",
gd-21103320,ubi_kenya,7,,"The biggest difference in my daily life in the last four months preceding the current transfer is that am hopeful of buying a cow. This is a goal I have had for long but I did have financial ability to achieve it. Since GD transfers came in, I have been saving some money to use it to buy  a cow in the new future.",,"The new goal that for my life four the next four months is to buy a cow and to build a concrete water thank.",,"In the next six months, I expect my life to be better than today in that  I will be having clean water for my family use.","My life is currently different from how it was four months ago in that I have been able to save as security for my future life. I am able to own family assets like other families. I see my family living a better life in that we have more food and good acess to basic needs unlike before."
gd-22466364,ubi_kenya,1,,,,,,,
gd-21568532,ubi_kenya,6,,"I am owning a dairy cow that this transfer made it happen and  my family is very happy  about this.",,"I am planning to finish my house that i had started  some times back.",,"By that time my child will be in secondary school hence i will  be paying school fees.","We are very optimistic about life since we are very sure about the transfer."
gd-24290255,ubi_kenya,1,"The biggest difference in my daily life is that these transfers have enabled me to access clean water and  food stuffs .",,"I am planning to buy a dairy cow  heifer to make life easier and reduce on expenditure costs and also built my own house.",,"My life is currently different because the water has reduced on time wastage for my life.","I expect to have built a house and buy a a dairy cow  which will make me live a  more decent life.",
gd-20991673,ubi_kenya,7,,"The biggest difference in my daily life is happiness.",,"The only goal I now have is to start a shop business.",,"I expect my life to change in that I will have opened a shop.","My life currently is different since my children now days eats and dresses well."
gd-22130647,ubi_kenya,7,,"The biggest difference in my daily life preceding the current transfer is that I have enough food because I got a good harvest being that I've been spending the money on modern farming.",,"For the next four months I want to save some money for constructing my home because I'm still staying in my father-in-law's home. This will enable me to be more independent.",,"In the next six months I expect to have saved enough money for constructing myhome.","My life is currently different from the way it was four months ago in that I can comfortably make a monthly budget ith the money."
gd-21907741,ubi_kenya,1,"The biggest difference in my daily is that our child is learning without being sent home.",,"I have a new goal to save for two months for a she goat that will be profitable to me in the future.",,"My life is different in that I am stress-free with regard to our child's school fee, that might have been a problem without GD  transfer.","I expect life to change in the sense that I plan to save and buy small livestock(goats and sheep ) as an investment. I also intend to buy and raise chicks for commercial purposes.This will enable me have an income still even on days when I do not manage to get odd or casual jobs.",
gd-21189456,ubi_kenya,1,"The biggest difference in my life since i stated receiving this money fro GiveDirectly is that i have leased a piece of land to farm.i now have work every day as i till the land.",,"My new goals that i dint have before receiving this transfer is to buy a heifer  and buy land to  plant tea.I plan to buy land in the next three years so that i can also grow tea.",,"my life is currently different from how it would have been  had i never received the transfer as i now have land to till.","I expect my life to change in the next six months since i will have bought a cow .I will have planted maize in my leased farm and for the first time,i will be accumulating savings in order to buy   apiece of land.",
gd-22699067,ubi_kenya,4,"I have now been able to have a good financial projection into the future. In addition to that I can now buy food in an easy way.",,"I have a goal of building a new kitchen, after which I will plan on how to start acquiring a few domestic animals such as goats.",,"My life is now different because I now live a very stress free life as opposed to how I used to live previously before GD came into our village.","I have a plan of buying goats and a few sheep, something that I have just been dreaming about in the past.",
gd-21263273,ubi_kenya,6,,"This transfer changed my life since i no longer go on debts unlike before when i had no option.",,"I am planning to start a business of selling cows to get money.",,"I am planning to expand my farming to by leasing big land to farm.","When i got this transfer my children are so happy that when they need any amount of money from school they do not wait for so long since i save the transfer for them."
gd-21762435,ubi_kenya,4,"The biggest difference in my daily life is that I am able to feed well and take care of my family with a lot of ease unlike before.",,"My new goal is to fix steel windows and doors to my new house I had constructed earlier.",,"My current life is different from how it would have been had I never received the transfer in that I am now able to dress well and take care of family.","In the next six months,I expect my life to shall have changed with my new house having steel windows and doors.",
gd-21627605,ubi_kenya,1,"The biggest difference in my life is that we can now access medical services when we need to. I used part of my transfer to pay for the national medical insurance. I have a child who has epilepsy and requires frequent medical attention. We at times would not have money for his medication but we can now afford medication without struggle. The medical cover caters for his medical needs. This is such a relief for me.",,"I plan to buy livestock. This is my new goal. It will cut our expense of buying milk everyday. We will also generate income from sale of milk.",,"My life is currently different. I can comfortably afford food and the basics of life such as clothes and even blankets since we did not have enough. We also used to strain a lot to get some little money from casual work. We do not have to work too much any more at people's farms. I can now till my own land and attend to my farm. I am happy about this and less stressed since I am not that strong due to health issues.","I expect my life to be better in the next six months. I would like to have my own cow because we do not have any of our own. We borrow from our neighbors and take care of their livestock and there's nothing as satisfying as having things of your own. Once we have our own I will be more content. I am hopeful for a better life though.",
gd-21272876,ubi_kenya,5,,"My life is currently different because I am seeing my mother living in a good iron roofed house. Previously, she was living in a grass thatched house which sometimes leaked on rainy seasons. I am now happy because she is just staying in a good house courtesy of the transfers form Give Direclty",,"In the next four months I will have accomplished my mission of building my own house. I am currently living with my sibling in small house that was built by my parents. 
I feel I am grown enough and I will house myself through the assistance.",,"In the next six months I will have be living in my own house after building it. I will be so much happy because I will have given my siblings enough room to live in.","My life is currently different because I am happier than before. This is because we built my mother a house which she is currently living."
gd-21356975,ubi_kenya,1,,,,,,,
gd-22482563,ubi_kenya,7,,"I have always wanted to have a better house than the one I have now but due to my income, it has been a dream. Since Give Directly came to my life, I see the dream coming to pass in my life.",,"My new goal is to buy a solar system.",,"I would want to buy bedding and other household items which I lack.","My life has been made easy especially in terms of food. I have never gone without food and I started buying iron sheets which I will use in building a new house."
gd-21910748,ubi_kenya,1,"The biggest difference in my daily life since I started receiving payments is I am able to feed well. I am more healthy.",,"I am planning to buy a water tank as well as plaster the wall and floor of my house.",,"The difference is I eat well without skipping a meal. This has made me healthy and happy.","I expect to be healthy and peaceful. I also expect to have plastered the walls and floor my house.",
gd-20892345,ubi_kenya,6,,"I feel my  life has changed totally since the transfer has supported me so much hence reducing the stress i had  over money.",,"In the next  four months i am planning to buy a goat for my family.",,"I am planning to sell the goats hence buy a dairy cow that will provide my family with milk.","My children are  very happy since the school fees problem has been sorted by the transfer from GD."
gd-22484697,ubi_kenya,1,,,,,,,
gd-22745142,ubi_kenya,2,"The biggest difference in my daily  is that happiness increased in our household since we started receiving this transfers. This money has brought a lot of hopes in our household  which has kept us heads up with plan and projects which we are yet to implement.",,"I have a new goal to plaster the floor of my old  and to purchase new furniture.",,"My life currently has changed in that I am nowadays in more than one self-help  group and apart from that have some savings.","I expect to see my house clean and  plastered in six months time.",
gd-22795097,ubi_kenya,1,"Nothing much has changed in my daily life since i received the transfer. I just feel very happy for the money that we received from Givedirectly.",,"I want to start rearing poultry by first building a poultry house and buying some few chicken. I also want to engage in serious vegetable planting that will help increase our household income.",,"My life is currently different from the way it used to be in that i am less anxious on where and how i will get my daily foodstuff and other materials. We are more happy as a family.","In the next six months, i wish to have improved my lifestyle and be living more comfortably than we are living now. I expect my children to be wearing better clothes and having a better diet plan.",
gd-24396470,ubi_kenya,1,"The biggest difference in my daily life is that GD transfer added me energy to continue with my business (buying and selling maize).",,"My new goal is to buy a piece of land.",,"My life is currently different since GD transfer helped me improve my business.","In the next six months I will have cleared paying land debts.",
gd-21767479,ubi_kenya,1,"The biggest difference in my daily life is that, I eat well without struggling to get food and I can attest that I get sartisfied unlike before were the little food is what could be shared in the family.",,"My new goal is to joining college and take a course in social work because I wish get a job in future.",,"My life is currently different from how it would have been if I never received the transfer in that, I have reduced paying my school fees which was pending just hoping to clear it so as to join college.","I expect my life to change in the next six months in that, I will easily manage to take care of my needs without asking someone to chip in.",
gd-22037236,ubi_kenya,4,"The biggest difference in my daily life is that I was able to servant the Lord in a special way by donating the subsequent payments in church on a construction project which is on going .  ",,"At the moment I have no new goal .",,"I have been able to servant the Lord in a special way by donating the subsequent payments in church on a construction project which is on going . I appreciate how my life has changed which I couldn't do without these payments.","I dont have",
gd-22036363,ubi_kenya,4,"The biggest difference in my daily life is that my income has grown  given that I have managed to boost and start various business using the money I have been receiving.",,"My new goal is to construct a bit more spacious kiosk to expand my house.",,"My current life is different in that I am able to feed my life more comfortably with the profits I have been making since I started receiving these transfers.","In the next six months, I expect to have changed my grass thatched to an iron roofed house.",
gd-22774145,ubi_kenya,3,"The biggest difference in my daily life is happiness.",,"The only goal I now have is to start a shop business.",,"My life currently is different since my children are now feeding well.","I expect my life to change in that I will have opened a shop.",
gd-21982625,ubi_kenya,2,"The biggest difference in my daily life since I started receiving payments from GiveDirectly is that, I managed to repay a loan which was overdue. I feel relieved after clearing it because previously I used to be reminded most of the time even when I was in group with my friend which was embarrassing.",,"My new goal is to smear my house in preparation of cementing it so as  to avoid the hectic work of smearing it after every three months.",,"My life is currently different from how it would have been if I never received the transfer in that, I managed to repay a loan which was overdue. I feel happy because I am no longer reminded of the debt all the time which was embarrassing.","I expect my life to change in the next six months in that, I will have managed to boost my business with an intention of getting more profits that I will used for my daily needs and also expect my family to eat well .",
gd-21559026,ubi_kenya,5,,"The biggest difference in my daily life in the last four months is that I currently find it easier to get my basic needs. My family have enough and better meals for currently than before due the help of GD transfers.",,"The new goal that I have in my life in the next four months is is to buy an heifer.",,"In the next six months I expect to have bought a  calf, to have well developed poultry farming and to have improve my house.","My life is currently different from how it was four months ago in that my living standards have improved. I currently have better clothing and bedding materials that gives me happiness and a better life.Give directly transfers has opened up my minds in terms of goals and development. I am currently planning to start poultry farming as my own income generating activity."
gd-22379646,ubi_kenya,2,"The biggest difference in my daily life since I started receiving my transfer is that I am now happy and have less stress because I know I have monthly income. Since my husband died life has been tough because I do not have any income or assistance from my relatives, I have been sick and doing casual work is not easy.I can now eat three meals a day unlike before when I could go hungry the whole day.",,"My new goal that I did not have before receiving the transfer is to save money and buy a goat because I believe it will give birth and I can sell its kids  to get more money.",,"Currently I can afford to have three meals in a day unlike before when I had not started receiving the transfer.I am proud because I have monthly income and my heart is settled,I have less stress.","I expect my life to change in the next six month in that I will have started cereal business that will help me get sustainable source of income hence  enabling me support my family with ease.",
gd-21521002,ubi_kenya,7,,"The biggest difference in my daily life is happiness.",,"At the moment, I do not have any new goals.",,"I expect my life to change in that my family will be feeding and dressing well.","My life currently is different since I am like someone who is under payroll."
gd-24490754,ubi_kenya,1,"The biggest difference in my daily life is that these transfers have enabled me to start building a brick walled house and pay school fees for my kids.",,"I am planning to complete the construction of my brick walled house and pay school fees for my kids.",,"My life is currently different because I have the chance  to do my own work and reduced casual labor.","I expect to have completed my house and start construction of a new kitchen and increase my tea plantation because it is a source of income.",
gd-21055014,ubi_kenya,2,"I have seen a great difference in  my life, having spent  GD money to buy a  heifer  I am  happy  to see everyday as I had no cow in my compound before. I believe with time and calves I will have  milk to feed my family and  get some for sale.",,"My new goal is  to  buy  more heifers which with time will mature and will have more livestock within my homestead. Therefore, I would start generating income though the sale of  milk.",,"Currently, before I go to my work place I  spent some time  feeding my  cow  which I really enjoy doing it. Every day this brought  me happiness  and thank Give Directly for the transfers which enabled me to buy the animal.","Now having  one  cow in the farm I expect I would be having  another cow in  my farm in the next six months.",
gd-21573770,ubi_kenya,1,"The biggest difference is that I am able to plan and acheive my goals.For instance am planning to keep sheep and do poultry farming. I believe i will be able to acheive that with the assistance I get from Give Directly",,"My biggest goals were keeping poultry and sheep. I couldnt do that before because it requires a huge amount of capital",,"Life wouldnt be easy because we could stil be depending on one source of income, therefore we coulnt meet most of our needs","Now that am planning to start doing poultry farming, I believe that my life will improve because there is added income",
gd-24439829,ubi_kenya,1,"The biggest difference in my daily life since I started receiving the transfer is that currently I have clean water for my household use. This has reduced my hard work I had to do looking for clean water. I am also currently able to give my family a daily meal with the GD transfer unlike before. This has made my life easier and am so happy with my current life.",,"The new goal that I have developed that I didn't have before receiving the transfer is to do more short season crop farming.",,"My life is currently different from how it would have been if I had not received the transfers in that I have clean water, enough food for my family . I currently do less hard casual job than before hence I have a better and relaxed life.I am happier currently than before since I see  more ability to do better thing in my future.","In the next six months I expect to have done cabbage farming.",
gd-21975350,ubi_kenya,7,,"The biggest difference in my daily life is that I am free from debts.  I have my own money and I can make my own decisions in terms of budgeting.",,"My new goal is to buy a cow for rearing and mostly for milk production.",,"In the next six months, I shall have bought a cow. This shall have changed my life for the better as I will have to buy milk anymore.","Apart from living free of debts, my house is well lit as I also managed to purchase a solar lamp. I no longer use kerosene which was quite expensive."
gd-22519908,ubi_kenya,1,"The biggest difference in my daily life is that i am able buy food for my family and they are now happy and well  fed.",,"My new goals is to expand my house,build a kitchen as i do not have one and buy more bedding for my children.",,"My life is currently different as there are no more quarrels between my husband and i as i receive transfers and can feed the family without depending so much on him.I was also able to process certificate of birth for my children.","I expect my life to change tremendously as i will be able to fulfill my dreams like paying school fees for my children,buying clothes for my children,building a kitchen and expanding my house through the transfers.",
gd-21218168,ubi_kenya,1,"I am really thankful for this project I have bought the chicken which are already laying. I sell the eggs when I am faced with little pressing household errands to run.",,"The new goals we have laid with some village friends is to start  a merry go round. The seven of us plan to buy heifers for each of us in the group. With the heifers in our homesteads we can sell milk and provide for our family once they calf.",,"My life has changed I have chicken which I did not have and had never thought of owning but with the money  I have seen the need of having chicken they are cheap to maintain. The eggs also sell well nowadays.","I will have better living standard and social life from the group/ chamas established by the help of these transfers. Members tend to share more with friends and our lives will transform out of this. I am also hopeful that I will also have a heifer by the end of six months.",
gd-22038788,ubi_kenya,5,,"The money has helped me when it comes to effective land cultivation and also paying school fees on time for my children.",,"My new goal includes building a new house for my growing family.",,"My life will have changed because I believe I will have built my new house, something that I really yearn for at the moment.","My life is currently different because I no longer have to struggle so much like I used to do in the past."
gd-23877423,ubi_kenya,2,,"The biggest difference is that I was able to repair my house. This was my major worry but now it has been settled thanks to GD.",,"I am planning to plant maize for a beter harvest come next season nw that I can purchase fertilizer.",,"In the next six months I expect to have a bumper harvest since I will have employed the use of fertilizer and improved seeds.","My life is currently enjoyable. My house is presentable and I can invite visitors with courage without fear of embarrassment of the condition of the house unlike previously."
gd-21181987,ubi_kenya,5,,"The biggest difference is that I am now able to farm like everybody else.I used to lack funds for preparing land.This year I was able to do that using tractors and oxen instead of my own manual labor.For the first time,I used fertilizers in planting.I was also able to plant beans in a different portion.My maize is doing so well this time round. I  thank GD for saving me.I am know that I will not suffer from famine any more.",,"I have new goals to buy and rear sheep.I will be receiving contributions from the group I joined in my village in August.I am almost done preparing a field in which I will keep my sheep.",,"I  will have a heard of cows and a fleet of sheep.I will also have poultry .I will have something to show off and even afford basic needs  for me and my family.","I have kept my children in school without disruption to come home to collect fee.They used to be send away all the time but with this transfers, I was able to pay for them.It s also currently different because I have my land sufficiently farmed."
gd-22046063,ubi_kenya,2,"There is no difference in my daily life as per now since I have just began to receive the payments.",,"My new goal is to build a house of my own.",,"My life is currently not really different  but since I am saving money, I know that soon there will be a difference.","In the next six months I expect my my house construction project to begin.",
gd-20982943,ubi_kenya,1,"The biggest difference in my life is that there is sufficient food for my family. Earlier we would really struggle to feed our family but now we have enough food. We used to work so hard without being sure that we would have enough for meals. Now we have enough and we do not do too much unnecessary work that pays so little.",,"I plan to build a house. This is my new goal. Our kitchen is in bad shape. It has a thatched roof that leaks. My children sleep in the kitchen and it is so inconvenient during rainy seasons. I plan to build a better house so that my children will not continue to suffer. They will be comfortable whether it is raining or not.",,"My life is currently different. I have hope and optimism. We eat well as a family. We can afford a balanced diet. We have also planted our crops which will be a supply for food for us; this will be a constant supply. We can then use our future transfers for other income generating activities or for other things that we will deem fit.","I expect my life to be better than I have now. In six months, we will be having food from our farm, so lack of food will be minimal. I also expect my children to continue learning without the interruptions of being sent home for lack of fee. If they get a good education they will have a brighter future. That will be my happiness as a parent.",
gd-21993101,ubi_kenya,8,,"Whenever I receive the money, I am able to do a monthly grocery shopping which has greatly reduced the burden on my side.",,"I hope that I will clear the arrears on my children's school fees so that I can focus saving the rest to help me do a more tangible project.",,"I am planning to save part of the money so that I can open a grocery business for my wife who currently has no source of income.","I no longer have to struggle as much as I did before to feed my family."
gd-21592200,ubi_kenya,1,"The biggest difference in my daily life is that I have some sense of independence. I don't have to borrow money. I am happy about this and I am optimistic of progressing financially.",,"The new goal that I have is to start a hardware business of house construction materials. This is my specialty. My profession is masonry. I will be able to generate an income from the business and I will run it well because I understand the field quite well.",,"My life is currently better than it was before the transfer. I have expanded my poultry business using the transfer; I able to generate more income than I used to.","I expect my life to be better in the next few months. I plan to earn more money to meet all needs that we have. I expect to have a better life economically.",
gd-21627605,ubi_kenya,6,,"The biggest difference in my daily life is that these transfers have boosted my household items.",,"I am planning to buy farm inputs, plant beans and potatoes.",,"I expect to buy a heifer as  soon as I get merry go round contributions at the course of this month.","My life is currently different  because there is less stress  because I can afford household items and take goods items on credit."
gd-21770680,ubi_kenya,8,,"The biggest difference in my daily is that l have manage to buy some building materials as l am planing to build a spacious comfortable house since l am staying in a very small house.",,"In the next four months l will continue saving for my project of building a new house.",,"In the next six months l expect to have started my project of building my  spacious house.","In the last four months l have manage to save and organize memorial service for my spouse."
gd-21600251,ubi_kenya,1,"There  is no biggest difference since the money I received was small in amount because I had been given a phone.",,"My new goal is to buy a plot and establish a business.",,"My life has not yet changed since the amount sent was small. I hope that it will change when I receive the transfers fully.","In the next six months I will have improved my business.",
gd-22285556,ubi_kenya,1,"The biggest in my daily life is that I am now able to buy enough maize flour for my family that keeps the family going. I initially used to struggle so much to get enough flour for my family.",,"My new goal is to construct a new house since my current house  has a leaking roof. Secondly, I want to purchase new furniture and then finally be able to pay school fees for my children.",,"My life is currently different from how it used to be initially because I no longer have to rely on my husband for financial assistance.","I expect my life to change in the next six months because I will have my new house, my children will be able to go to school without having to be sent home because I have not paid the money.",
gd-22762020,ubi_kenya,1,"The biggest difference in my life is that GD transfer I received boosted my plan of buying a land. I topped up what I had and paid for the land and I am always happy about it.",,"My new plan is to buy a land and develop it.",,"I am now confident that I will get transfers and I will be able to drive my plans well.","In the next six months my life would have improved and I would have purchased a piece of land.",
gd-20967617,ubi_kenya,1,"the biggest difference in my daily life is that i no longer fully depend on my parents for everything that i need for me and my kids. I am able to buy small stuff  using the transfers without having to bother my parents.",,"I have seen fit to plan and open a salon and improve on the little business because i have been helping my customers at home. I want to find a space and run my business from there.",,"My life is now different from before because i no longer allow my child who studies in a boarding school to be sent home for school fees. The transfers from Givedirectly has really assisted me.","When i open my salon, i am certain that i will have income of my own and i will no longer depend on casual and manual jobs that i previously used to survive on.",
gd-21775045,ubi_kenya,2,,,,,,,
gd-24371153,ubi_kenya,1,"The biggest difference in my daily life is that I am able to meet my family's daily food requirement.I am happy and hopeful for a better life.",,"I have new goal to buy and.I have found a half an acre of land that is on sale.I also intent to save for my children education.I will soon start a hotel business.",,"Currently my life is different in that my family members are happy because we have a cow and a new house.I am also actively working in the farm and this will increase my income.My wife is now hopeful about a our good future and actually believes in my vision of ensuring  good education for my children.","I expect my life to have changed in the next six months because I will have bought a piece of land and will have started saving money for my child's education.",
gd-23116652,ubi_kenya,2,,"The biggest difference in my daily life since I started receiving money from GiveDirectly is that I feel so happy and proud I now have an upto standard house. Wheneber I see the house I always kneel and thatnk God for such an amazing gift.",,"Water is a major challenge in our area so for the next four months I have a goal of looking for ways of buying a water tank for water storage.",,"In the next six months, I expect to have bought a water rtank to help solve the water challenge. I also expect to have fenced my home to enhance security.","My life is currently different from the way it was four months ago in that I now have enough supply of food because part of the money I spent on farming and I got a good harvest. I also have a spacious a decent house."
gd-21896586,ubi_kenya,7,,"The biggest difference in my daily life is that I am at peace with my self given that I have been able to pay my bills on time.My health insurance cover is paid and up to date.",,"My additional goal in the next four months is to expand my business. I want to start a butchery in my village.",,"In the next six months,I expect my butchery business to be running. This means more profits to my family.","My current life is different from how it was four months ago in that all my bills are paid on time. I no longer worry of where to get money to settle the bills."
gd-21112729,ubi_kenya,1,"The biggest difference in my life is that GD have relieved me of the burden that I have and I am happy for this always.",,"My new goal is to buy a water tank and and buy livestock.",,"My life has changed since I can now afford to buy household Items from the transfer and this will also help me boost my plans despite my old age.","In the next six month my life would have improved.",
gd-22320088,ubi_kenya,7,,"The biggest difference in my daily life in the last four months preceding the transfers is that currently I have enough time for my studies over the weekends because I no longer help people out in the farm in order to raise money for our family upkeep This is because we budget with the money GD sends us monthly to meet the needs.",,"I do not have a new goal for my life for the next  four months but to pay attention to my studies.",,"In the next six months, I expect to start up a small business while I will on December holiday so that I can raise some money for my next year's school fees.","My life is currently different from the way it was four months ago in that I have time for my studies over the weekends because I do not work for people in farm anymore to help my parents raise money for family upkeep. I am settled too whenever I'm in school knowing that my family members have something to eat, and they won't go hungry."
